SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
BSR Real Estate Investment Trust (TSX:HOM.UN),10495501,Residential REIT,Public Company,Operating,Canada,1.87,"1,244,625","1,948,095",691.7,BSR REIT
BTB Real Estate Investment Trust (TSX:BTB.UN),4261040,Diversified REIT,Public Company,Operating,Canada,1.70,"689,133","1,129,901",279.6,BTB REIT
BTG Pactual Logística Fundo de Investimento Imobiliário (BOVESPA:BTLG11),4864278,Industrial REIT,Public Company,Operating,Brazil,NA,NA,NA,"1,952.7",BTG Pactual Logística Fundo de
Bualuang Office Leasehold Real Estate Investment Trust (SET:B.WORK),8676053,Office REIT,Public Company,Operating,Thailand,0.23,"920,000","5,066,997","3,669.6",Bualuang Office Leasehold REIT
Bulgarian Investment Group REIT Sofia (BUL:BGIG),7059449,Diversified REIT,Public Company,Operating,Bulgaria,NA,0,456,0.1,Bulgarian Invt Grp Sofia
Bulgarian Real Estate Fund REIT (BUL:BREF),4863935,Diversified REIT,Public Company,Operating,Bulgaria,0.34,"36,718","148,817",69.3,Bulgarian RE Fund REIT
BWP Trust (ASX:BWP),4143490,Retail REIT,Public Company,Operating,Australia,0.18,"452,700","3,021,917","2,396.1",BWP Trust
C.P. Tower Growth Leasehold Property Fund (SET:CPTGF),4864437,Office REIT,Public Company,Operating,Thailand,NA,0,"10,639,286","6,865.7",C.P. Tower Growth Leasehold Pp
Camden Property Trust (NYSE:CPT),103094,Residential REIT,Public Company,Operating,USA,0.75,"3,180,367","7,976,784","12,132.5",Camden Property Trust
Canadian Apartment Properties Real Estate Investment Trust (TSX:CAR.UN),4105050,Residential REIT,Public Company,Operating,Canada,0.67,"6,917,745","17,712,973","7,057.3",Canadian Apartment Properties
Canadian Net Real Estate Investment Trust (TSXV:NET.UN),4603658,Diversified REIT,Public Company,Operating,Canada,1.11,"144,707","278,166",127.7,Canadian Net REIT
"Cantor Fitzgerald Income Trust, Inc.",4834818,Industrial REIT,Public Company,Operating,USA,1.05,"372,555","750,650",NA,Cantor Fitzgerald Incm Tr Inc.
Capital & Counties Properties PLC (LSE:CAPC),4259542,Retail REIT,Public Company,Operating,United Kingdom,0.53,"941,000","2,798,500",841.5,Cap & Counties Ppts PLC
Capital & Regional Plc (LSE:CAL),4143597,Retail REIT,Public Company,Operating,United Kingdom,1.61,"271,100","636,000",83.7,Capital & Regional Plc
CapitaLand Ascendas REIT (SGX:A17U),4143503,Industrial REIT,Public Company,Operating,Singapore,0.65,"6,688,994","17,730,491","10,376.3",CapitaLand Ascendas REIT
CapitaLand China Trust (SGX:AU8U),4188468,Retail REIT,Public Company,Operating,Singapore,0.68,"2,000,173","5,575,900","1,565.1",CapitaLand China Trust
CapitaLand Integrated Commercial Trust (SGX:C38U),4143504,Retail REIT,Public Company,Operating,Singapore,0.60,"8,185,501","22,741,850","11,539.9",CapitaLand Integrated
CapitaLand Malaysia Trust (KLSE:CLMT),4261427,Retail REIT,Public Company,Operating,Malaysia,0.59,"1,412,269","3,932,949","1,123.3",CapitaLand Malaysia Trust
Care Property Invest NV (ENXTBR:CPINV),4861686,Residential REIT,Public Company,Operating,Belgium,0.89,"427,814","945,316",422.8,Care Property Invest NV
"CareTrust REIT, Inc. (NYSE:CTRE)",4531073,Healthcare REIT,Public Company,Operating,USA,0.74,"673,398","1,640,848","1,679.6",CareTrust REIT Inc.
Carindale Property Trust (ASX:CDP),4260899,Retail REIT,Public Company,Operating,Australia,0.48,"253,054","799,020",315.0,Carindale Property Trust
Carmila S.A. (ENXTPA:CARM),6308336,Retail REIT,Public Company,Operating,France,0.76,"2,578,582","6,371,471","1,957.2",Carmila S.A.
Cathay No.1 Real Estate Investment Trust (TWSE:01002T),4228265,Diversified REIT,Public Company,Operating,Taiwan,0.04,"1,106,266","28,214,590","25,032.2",Cathay Real Estate Investment
Cathay No.2 REIT (TWSE:01007T),4864019,Office REIT,Public Company,Operating,Taiwan,NA,0,"17,083,328","14,328.0",Cathay No.2 REIT
"CBL & Associates Properties, Inc. (NYSE:CBL)",103092,Retail REIT,Public Company,Operating,USA,5.51,"2,211,580","2,945,979",811.8,CBL & Associates Properties
CCB Real Estate Fund REIT (BUL:CCBR),4862650,Diversified REIT,Public Company,Operating,Bulgaria,NA,0,"45,001",51.7,CCB Real Estate Fund REIT
CDL Hospitality Trusts (SGX:J85),4188464,Hotel REIT,Public Company,Operating,Singapore,0.73,"1,191,172","2,921,126","1,264.1",CDL Hospitality Trusts
Centara Hotels and Resorts Leasehold Property Fund (SET:CTARAF),4864173,Hotel REIT,Public Company,Operating,Thailand,NA,0,"1,955,066","1,712.0",Centara Hotels & Resorts Lease
Centerspace (NYSE:CSR),107231,Residential REIT,Public Company,Operating,USA,0.86,"856,047","1,940,061","1,025.3",Centerspace
Centuria Capital Group (ASX:CNI),4406822,Diversified REIT,Public Company,Operating,Australia,0.47,"667,578","2,694,850","1,222.5",Centuria Capital Group
Centuria Industrial REIT (ASX:CIP),4607007,Industrial REIT,Public Company,Operating,Australia,0.51,"1,373,029","4,148,032","1,727.0",Centuria Industrial REIT
